"University of Madras, Banerji Road, Kacheripady, Ernakulam, Kerala 682018, India",9.987989,76.285469
"National Highway 45, Vadamadurai, Tamil Nadu 624802, India",10.443057,78.096069
"A.D.J.Dharmambal Polytechnic College, Palpannaicherry, Kadambadi, Nagapattinam, Tamil Nadu 611001, India",10.790231,79.837865
"Chennai - Nagapattinam Highway, Annankoil, Tamil Nadu 609109, India",11.189971,79.760579
"Bharathi Nagar, Tamil Nadu 638056, India",11.247605,77.492782
"National Highway 45, Tamil Nadu",11.43199,79.013089
"National Highway 45, Tamil Nadu",11.43199,79.013089
"Tiruchi-Chennai Highway, Kallur, Tamil Nadu 606108, India",11.4832,79.061946
"Chennai Road, Panruti, Tamil Nadu 607106, India",11.813909,79.559096
"Chennai Road, Rajapalayam, Tamil Nadu 607205, India",11.815367,79.55903
"Tiruchi-Chennai Highway, Tamil Nadu",12.342744,79.780814
"Tiruchi-Chennai Highway, Acharapakkam, Tamil Nadu 603301, India",12.407048,79.816899
"Tiruchi-Chennai Highway, Pakkam, Tamil Nadu, India",12.464385,79.848869
"Tiruchi-Chennai Highway, Pakkam, Tamil Nadu, India",12.464385,79.848869
"University Of Madras & Tamilnadu Open University Study Centre, Gokulapuram, Chengalpattu, Tamil Nadu 603001, India",12.683748,79.983022
"University Of Madras & Tamilnadu Open University Study Centre, Gokulapuram, Chengalpattu, Tamil Nadu 603001, India",12.683748,79.983022
"Tiruchi-Chennai Highway, Tamil Nadu",12.741604,79.991218
"Apartments in Kelambakkam, Chennai, Tamil Nadu 603103, India",12.753627,80.201826
"Attibele - Anekal Road, Karnataka, India",12.757756,77.762473
"Yoga Vidya Ashram, Yoga Vidya Asharm, Chennai, Thiruvidandhai, Tamil Nadu 603112, India",12.763546,80.244765
"Anekal Road, Attibele, Karnataka 562107, India",12.776802,77.769514
Hosur Road,12.77851,77.771607
"Kelambakam-Kovalam Road, Tamil Nadu",12.784012,80.233024
"Balagaranahalli Road, Balagaranahalli, Karnataka 562107, India",12.784829,77.736028
"National Highway 45, Maraimalai Nagar, Tamil Nadu, India",12.786094,80.014707
"Tiruchi-Chennai Highway, Maraimalai Nagar, Tamil Nadu, India",12.786094,80.014707
"Yadavanahalli, Karnataka 562107, India",12.78972,77.752361
"Sarjapura - Attibele Road, Karnataka, India",12.790765,77.776173
"Jigala, Karnataka 562107, India",12.797112,77.759513
"Maraimalai Nagar, Tamil Nadu 603204, India",12.797269,80.020459
"Gulakamale, Karnataka, India",12.797559,77.530413
Muttukadu Backwaters,12.800612,80.236314
"Neraluru Road, Bangalore, Karnataka 562107, India",12.801256,77.730437
"Srinivasa Kalyana Mantapa, Teachers Colony, Chandapura, Bangalore, Karnataka 562107, India",12.801604,77.70642
"Bidaraguppe, Karnataka, India",12.806113,77.785973
"Arkay Gardens-Pudupakkam Road, Tamil Nadu 603103, India",12.815703,80.208777
"Bommasandra Industrial Area, Bangalore, Karnataka, India",12.816192,77.685107
"Tiruchi-Chennai Highway, Tamil Nadu",12.817704,80.035052
"Perumadunallur Main Road, Perumanttunallur, Tamil Nadu 603202, India",12.81772,80.086986
"Uttari, Karnataka 560082, India",12.818005,77.493499
"Malur Main Road, Bangalore, Karnataka, India",12.820071,77.717542
"Potheri, Kattankulathur, Tamil Nadu, India",12.825527,80.039606
"Siruseri IT Park - Project Office, First Cross Road, SIPCOT Industrial Park, Siruseri, Tamil Nadu 603103, India",12.830789,80.222404
"INNO GEOCITY, ORAGADAM, CHENNAI., Varanavasi, Tamil Nadu 631604, India",12.833393,79.882021
"4th Cross Road, Kammasandra, Electronics City, Bangalore, Karnataka 560100, India",12.837063,77.692379
"Hosur Road, Veer Sandra, Electronics City, Bangalore, Karnataka 560100",12.838761,77.677763
"SIPCOT-Thalambur Road, Tamil Nadu 603103",12.839056,80.217181
"VIT Chennai Campus, Kovilancheri, Tamil Nadu 600048, India",12.84087,80.153012
"Nagapattinam-Chennai Highway, Guduvancheri, Tamil Nadu 603202, India",12.843936,80.059672
"Guduvancheri, Tamil Nadu 603202, India",12.845028,80.05717
"Thalambur, Tamil Nadu, India",12.84854,80.207984
"Hosur Road, Bangalore, Karnataka, India",12.850894,77.668487
"Oonamanchery Lake, Tamil Nadu 600048",12.855951,80.101678
"Ponmar, Moolacheri, Tamil Nadu, India",12.856425,80.170766
"Sarjapur, Bangalore, Karnataka 562125, India",12.857737,77.786311
"J10 Chemmenchery Police Station, Rajiv Gandhi Nagar, Chemmenchery, Chennai, Tamil Nadu 600119, India",12.858527,80.230102
"Karanai Bus Stop, Thalambur, Tamil Nadu 603103, India",12.858642,80.199943
"Urapakkam High School, Urappakkam, Tamil Nadu 603210, India",12.865484,80.076715
"Basapura, Bangalore, Karnataka, India",12.865649,77.656476
"Kamaraj Nagar, Chennai, Tamil Nadu, India",12.866732,80.218189
"chennai, Chennai, Tamil Nadu 600119, India",12.868445,80.230461
"Uthandi, Kanathur, Tamil Nadu 600119, India",12.869144,80.244678
"Urapakkam, Vandalur R.F., Tamil Nadu, India",12.869469,80.08129
"Church in College, Sathayabama University, IT dept Road, Kamaraj Nagar, Chennai, Tamil Nadu 600119, India",12.873772,80.218517
"Annekaranahalli, Karnataka 562201, India",12.87397,77.27356
"Masjid - Nedunkundram, Suddhananda Bharathi Street, Nedunkundram, Tamil Nadu 600048, India",12.877325,80.107557
"Arignar Anna Zoological Park, Tamil Nadu 600048, India",12.878078,80.085869
"Nrupathunga Nagar, Sankranthi Layout, Arakere, Bangalore, Karnataka, India",12.88304,77.584508
"Nookampalayam, Sithalapakkam, Chennai, Tamil Nadu 600126, India",12.884638,80.202849
"Arasankazhani, Sithalapakkam, Chennai, Tamil Nadu, India",12.884743,80.205638
"Taluk Office, Vishwapriya Nagar, Begur, Bangalore, Karnataka 560068, India",12.885795,77.625431
"Padappai Church, State Highway 48, Padappai, Tamil Nadu 602301, India",12.886329,80.018028
"BPL, BG Road, Syndicate Bank Colony, Omkar Nagar, Arakere, Bangalore, Karnataka 560076, India",12.886347,77.596343
"AECS Layout, Singasandra, Bangalore, Karnataka 560068, India",12.886486,77.649317
"Agaramthen, Chennai, Tamil Nadu 600126, India",12.887382,80.162395
"Veenus Colony Road, Sithalapakkam, Chennai, Tamil Nadu 600126, India",12.888405,80.187441
"Mappedu, Selaiyur, Chennai, Tamil Nadu, India",12.888592,80.137974
"Kudlu, Bangalore, Karnataka 560068, India",12.888774,77.652897
"J Nagar, Chennai, Tamil Nadu 600119, India",12.889153,80.247466
"Gram Panchayat Office, AECS Layout A-Block, AECS Layout, Singasandra, Bangalore, Karnataka 560068, India",12.889222,77.64949
"R. B. I. Layout, JP Nagar 7th Phase, Bangalore, Karnataka, India",12.889522,77.579852
"Panaiyur, Chennai, Tamil Nadu, India",12.890523,80.246072
"Perumbakkam, Chennai, Tamil Nadu, India",12.890757,80.193185
"Cassia Block, Main Road, Nataraja Layout, Arakere, Bangalore, Karnataka 560078, India",12.891491,77.58227
"Sholinganallur, Chennai, Tamil Nadu, India",12.892636,80.226555
