15,1,30/9/2013 20:30,10/1/13 20:30,28.410978,77.04333199999996,"Omaxe Gurgaon Mall, Sohna Rd, Gurgaon, Haryana 122103",TRUE,Active,28.682908,77.208811,"FMS DU, Delhi",1
15,1,30/9/2013 20:30,10/1/13 20:30,28.437129,77.0406857,"Chaudhary Tau Devilal Stadium, Sector 38, Gurgaon, New Delhi 122001",TRUE,Active,28.710614,77.176281,"Azadpur, Delhi",2
15,1,30/9/2013 20:30,10/1/13 20:30,28.4714653,77.0527264,"Management Development Institute, Mehrauli Rd, Sukhrali, Sector 17, Gurgaon, Haryana 122001",TRUE,Active,28.612932,77.230955,India gate -  Delhi,3
15,1,30/9/2013 20:30,10/1/13 20:30,28.4952568,77.087295,"DLF CyberHub, DLF Cyber City, Phase 2, NH 8, Gurgaon, Haryana 122002",TRUE,Active,28.633123,77.21954,Rajeev Chowk - Delhi,4
15,1,30/9/2013 20:30,10/1/13 20:30,28.5018423,77.0852481,"The Oberoi, Gurgaon",TRUE,Active,28.568542,77.20949,AIIMS -  Delhi,1
15,1,30/9/2013 20:30,10/1/13 20:30,28.4674796,77.082121,"DLF Regency Park, DLF Phase IV, Sector 28, Gurgaon",TRUE,Active,28.544719,77.192074,IIT Hauz Khas -  New Delhi,2
15,1,30/9/2013 20:30,10/1/13 20:30,28.4716383,77.101632,"Qutub Plaza, Block A, Sector 26A, Gurgaon",TRUE,Active,28.644145,77.2147851,"Paharganj, New Delhi, Delhi",1
15,1,30/9/2013 20:30,10/1/13 20:30,28.4652112,77.0712613,"HUDA City Centre, Sector 29",TRUE,Active,28.6471991,77.2228508,"Jama Masjid, Old Delhi",2
2,1,30/9/2013 14:00,10/1/13 14:00,28.633123,77.21954,Rajeev Chowk - Delhi,FALSE,Active,28.6517278,77.2319488,"Red Fort, Old Delhi",3
6,1,30/9/2013 16:00,10/1/13 16:00,28.503695,77.178427,"Chatarpur, New Delhi",FALSE,Active,28.6534828,77.2317192,"Chandni Chownk, Old Delhi",4
7,1,30/9/2013 16:30,10/1/13 16:30,28.49404,77.147528,"Ghitorni, Delhi",TRUE,Active,28.6443712,77.2196777,New Delhi Railway Station,1
8,1,30/9/2013 17:00,10/1/13 17:00,28.481366,77.092939,"Sikandarpur, Gurgaon",FALSE,Active,28.6415631,77.237218,"Raj Ghat, New Delhi",2
9,1,30/9/2013 17:30,10/1/13 17:30,28.47767,77.068134,IFFCO Gurgaon -  Haryana,TRUE,Active,28.6803146,77.2261,"Indraprastha College, Civil Lines",3
10,1,30/9/2013 18:00,10/1/13 18:00,28.468616,77.058865,"Crown Plaza, Gurgaon",FALSE,Active,28.6685726,77.2303991,Maharana Pratap ISBT,4
11,1,30/9/2013 18:30,10/1/13 18:30,28.445902,77.033544,"Rajiv Chownk, Gurgaon",TRUE,Active,28.6341111,77.2124096,"Gurudwara Bangla Sahib, CP, New Delhi",1
12,1,30/9/2013 19:00,10/1/13 19:00,28.401895,76.989599,"Haldiram near toll, Gurgaon",FALSE,Active,28.5887882,77.1668503,"Sri Venkateswara College, Delhi",2
13,1,30/9/2013 19:30,10/1/13 19:30,28.410978,77.04333199999996,"Omaxe Gurgaon Mall, Sohna Rd, Gurgaon, Haryana 122103",TRUE,Active,28.6337679,77.2188019,Rajeev Chowk - Delhi,3
14,1,30/9/2013 20:00,10/1/13 20:00,28.208062,76.793304,Daruheda -  Haryana,FALSE,Active,28.6143258,77.1686312,"India Habitat Center, Delhi",4
22,1,1/10/13 0:00,10/2/13 0:00,28.962041,77.09251,"Sonepat, Haryana",FALSE,Active,30.747479,76.778248,Sector 16 Chandigarh -  Chandigarh,2
21,1,30/9/2013 23:30,10/1/13 23:30,28.885452,77.117751,"TDI Mall, Kundali",TRUE,Active,30.785239,76.756232,Mullanpur Chandigarh -  Chandigarh,1
20,1,30/9/2013 23:00,10/1/13 23:00,28.854296,77.126592,"Guru Teg Bhadur Memorial, Rai",FALSE,Active,31.129044,77.231005,Mashobra -  Himachal Pradesh,4
19,1,30/9/2013 22:30,10/1/13 22:30,28.802338,77.144702,"Splash Water Park, Rai",TRUE,Active,30.72044,76.764129,Sector 34 chd -  Chandigarh,3
18,1,30/9/2013 22:00,10/1/13 22:00,28.735001,77.155767,"Karnal, Bypass",FALSE,Active,30.767246,76.778248,Sector 12 Chandigarh -  Chandigarh,2
17,1,30/9/2013 21:30,10/1/13 21:30,28.682908,77.208811,"FMS DU, Delhi",TRUE,Active,30.657775,76.853822,Panchkula Heights -  Haryana,1
16,1,30/9/2013 21:00,10/1/13 21:00,28.710614,77.176281,"Azadpur, Delhi",FALSE,Active,30.970397,76.52301,Ropar -  Punjab,4
1,1,30/9/2013 13:30,10/1/13 13:30,28.612932,77.230955,India gate -  Delhi,TRUE,Active,30.79899,76.917072,Pinjore -  Harayan,1
2,1,30/9/2013 14:00,10/1/13 14:00,28.633123,77.21954,Rajeev Chowk - Delhi,FALSE,Active,31.237756,76.497446,Anandpur Sahib -  Punjab,2
3,1,30/9/2013 14:30,10/1/13 14:30,28.568542,77.20949,AIIMS -  Delhi,TRUE,Active,30.734458,76.842644,IT Park Landmark -  Chandigarh,3
4,1,30/9/2013 15:00,10/1/13 15:00,28.544719,77.192074,IIT Hauz Khas -  New Delhi,FALSE,Active,30.674091,76.789442,Chandigarh Airport -  Chandigarh,4
5,1,30/9/2013 15:30,10/1/13 15:30,28.52436,77.185894,Qutab Minar -  New Delhi,TRUE,Active,30.747774,76.794298,Sector 9 Chandigarh -  Chandigarh,1
6,1,30/9/2013 16:00,10/1/13 16:00,28.503695,77.178427,"Chatarpur, New Delhi",FALSE,Active,30.699796,76.84404,Sector 8 Panchkula -  Haryana,2
7,1,30/9/2013 16:30,10/1/13 16:30,28.49404,77.147528,"Ghitorni, Delhi",TRUE,Active,30.726859,76.846434,City Centre DLFPhase - I Manimajra -  Chandigarh,3
8,1,30/9/2013 17:00,10/1/13 17:00,28.481366,77.092939,"Sikandarpur, Gurgaon",FALSE,Active,30.770159,76.785652,Punjab Engg College -  Chandigarh,4
9,1,30/9/2013 17:30,10/1/13 17:30,28.47767,77.068134,IFFCO Gurgaon -  Haryana,TRUE,Active,30.590933,76.842815,Derabassi -  Punjab,1
10,1,30/9/2013 18:00,10/1/13 18:00,28.468616,77.058865,"Crown Plaza, Gurgaon",FALSE,Active,30.730493,76.810073,Sector 26 Chandigarh -  Chandigarh,2
11,1,30/9/2013 18:30,10/1/13 18:30,28.445902,77.033544,"Rajiv Chownk, Gurgaon",TRUE,Active,30.754191,76.789878,Sector 10 Chandigarh -  Chandigarh,3
12,1,30/9/2013 19:00,10/1/13 19:00,28.401895,76.989599,"Haldiram near toll, Gurgaon",FALSE,Active,30.7372,76.7872,Sector 18 Chandigarh -  Chandigarh,4
13,1,30/9/2013 19:30,10/1/13 19:30,28.37728,76.962648,"Wet and Wild, Manesar",TRUE,Active,30.752901,76.633666,Civil Hospital Kharar - Landran Road -  Punjab,1
14,1,30/9/2013 20:00,10/1/13 20:00,28.208062,76.793304,Daruheda -  Haryana,FALSE,Active,30.842995,76.981834,Timber Trail Heights Solan -  Himachal Pradesh,2
15,1,30/9/2013 20:30,10/1/13 20:30,28.002889,76.45393,"Bani Jonaycha, Rajasthan",TRUE,Active,30.738221,76.789173,New Secretariat -  Chandigarh,3
